id,url,expected_class,category,detector_level,detector_title,flagged,confusion_label
1,https://www.accessbankplc.com/,legitimate,official_nigerian_domain,safe,Official Access Bank,no,true_negative
2,https://www.gtbank.com/,legitimate,official_nigerian_domain,safe,Official GTBank,no,true_negative
3,https://www.gtco.ng/,legitimate,official_nigerian_domain,safe,Official GTBank,no,true_negative
4,https://www.zenithbank.com/,legitimate,official_nigerian_domain,safe,Official Zenith Bank,no,true_negative
5,https://www.firstbanknigeria.com/,legitimate,official_nigerian_domain,safe,Official First Bank,no,true_negative
6,https://www.ubagroup.com/,legitimate,official_nigerian_domain,safe,Official UBA,no,true_negative
7,https://www.fidelitybank.ng/,legitimate,official_nigerian_domain,safe,Official Fidelity Bank,no,true_negative
8,https://www.fidelitybankplc.com/,legitimate,official_nigerian_domain,safe,Official Fidelity Bank,no,true_negative
9,https://www.fcmb.com/,legitimate,official_nigerian_domain,safe,Official FCMB,no,true_negative
10,https://www.sterling.ng/,legitimate,official_nigerian_domain,safe,Official Sterling Bank,no,true_negative
11,https://www.sterlingbankng.com/,legitimate,official_nigerian_domain,safe,Official Sterling Bank,no,true_negative
12,https://www.wemabank.com/,legitimate,official_nigerian_domain,safe,Official Wema Bank,no,true_negative
13,https://www.alat.ng/,legitimate,official_nigerian_domain,safe,Official Wema Bank,no,true_negative
14,https://www.unionbankng.com/,legitimate,official_nigerian_domain,safe,Official Union Bank,no,true_negative
15,https://www.polarisbanklimited.com/,legitimate,official_nigerian_domain,safe,Official Polaris Bank,no,true_negative
16,https://www.stanbicibtcbank.com/,legitimate,official_nigerian_domain,safe,Official Stanbic IBTC,no,true_negative
17,https://www.stanbicibtc.com/,legitimate,official_nigerian_domain,safe,Official Stanbic IBTC,no,true_negative
18,https://www.ecobank.com/,legitimate,official_nigerian_domain,safe,Official Ecobank,no,true_negative
19,https://www.keystonebankng.com/,legitimate,official_nigerian_domain,safe,Official Keystone Bank,no,true_negative
20,https://www.unitybankng.com/,legitimate,official_nigerian_domain,safe,Official Unity Bank,no,true_negative
21,https://www.unitybank.com/,legitimate,official_nigerian_domain,safe,Official Unity Bank,no,true_negative
22,https://www.jaizbankplc.com/,legitimate,official_nigerian_domain,safe,Official Jaiz Bank,no,true_negative
23,https://www.providusbank.com/,legitimate,official_nigerian_domain,safe,Official Providus Bank,no,true_negative
24,https://www.titantrustbank.com/,legitimate,official_nigerian_domain,safe,Official Titan Trust Bank,no,true_negative
25,https://www.globusbank.com/,legitimate,official_nigerian_domain,safe,Official Globus Bank,no,true_negative
26,https://www.premiumtrustbank.com/,legitimate,official_nigerian_domain,safe,Official Premium Trust Bank,no,true_negative
27,https://www.lotusbank.com/,legitimate,official_nigerian_domain,safe,Official Lotus Bank,no,true_negative
28,https://www.suntrustng.com/,legitimate,official_nigerian_domain,safe,Official SunTrust Bank,no,true_negative
29,https://www.optimusbank.com/,legitimate,official_nigerian_domain,safe,Official Optimus Bank,no,true_negative
30,https://www.optimusbank.ng/,legitimate,official_nigerian_domain,safe,Official Optimus Bank,no,true_negative
31,https://www.signaturebank.ng/,legitimate,official_nigerian_domain,safe,Official Signature Bank,no,true_negative
32,https://www.signaturebankng.com/,legitimate,official_nigerian_domain,safe,Official Signature Bank,no,true_negative
33,https://www.parallexbank.com/,legitimate,official_nigerian_domain,safe,Official Parallex Bank,no,true_negative
34,https://www.thealternativebank.com/,legitimate,official_nigerian_domain,safe,Official The Alternative Bank,no,true_negative
35,https://www.thealternativebank.ng/,legitimate,official_nigerian_domain,safe,Official The Alternative Bank,no,true_negative
36,https://www.tajbank.com/,legitimate,official_nigerian_domain,safe,Official TAJBank,no,true_negative
37,https://www.alphamorganbank.com/,legitimate,official_nigerian_domain,safe,Official Alpha Morgan Bank,no,true_negative
38,https://www.novambl.com/,legitimate,official_nigerian_domain,safe,Official Nova Bank,no,true_negative
39,https://www.kuda.com/,legitimate,official_nigerian_domain,safe,Official Kuda,no,true_negative
40,https://www.opayweb.com/,legitimate,official_nigerian_domain,safe,Official OPay,no,true_negative
41,https://www.opay.com/,legitimate,official_nigerian_domain,safe,Official OPay,no,true_negative
42,https://www.palmpay.com/,legitimate,official_nigerian_domain,safe,Official PalmPay,no,true_negative
43,https://www.moniepoint.com/,legitimate,official_nigerian_domain,safe,Official Moniepoint,no,true_negative
44,https://www.getcarbon.co/,legitimate,official_nigerian_domain,safe,Official Carbon,no,true_negative
45,https://www.fairmoney.io/,legitimate,official_nigerian_domain,safe,Official FairMoney,no,true_negative
46,https://www.paystack.com/,legitimate,official_nigerian_domain,safe,Official Paystack,no,true_negative
47,https://www.flutterwave.com/,legitimate,official_nigerian_domain,safe,Official Flutterwave,no,true_negative
48,https://www.interswitch.com/,legitimate,official_nigerian_domain,safe,Official Interswitch,no,true_negative
49,https://www.interswitchgroup.com/,legitimate,official_nigerian_domain,safe,Official Interswitch,no,true_negative
50,https://www.remita.net/,legitimate,official_nigerian_domain,safe,Official Remita,no,true_negative
51,https://www.cbn.gov.ng/,legitimate,official_nigerian_domain,safe,Official Central Bank of Nigeria,no,true_negative
